scenario,repeat,policy,globalAccuracy,cost,strongRouteRate,routineAccuracy,routineStrongRate,importantAccuracy,importantStrongRate,criticalAccuracy,criticalStrongRate
calibrated_control,418,strong_only,0.95625,0.02,1,0.9666944213155704,1,0.9406438631790744,1,0.8887070376432079,1
calibrated_control,418,global_threshold,0.9759166666666667,0.004781333333333333,0.04883333333333333,0.9842987986201974,0.02997502081598668,0.9678068410462777,0.07746478873239436,0.900163666121113,0.1685761047463175
calibrated_control,418,stratum_threshold,0.98075,0.005365333333333333,0.08533333333333333,0.9842987986201974,0.02997502081598668,0.9845741113346748,0.09423205902079142,0.9132569558101473,0.8036006546644845
calibrated_control,418,oracle,0.9955,0.005050666666666667,0.06566666666666666,0.9980968240751754,0.0428214583085524,0.9936284372904092,0.09792085848423876,0.9689034369885434,0.2225859247135843
calibrated_control,419,strong_only,0.9579166666666666,0.02,1,0.9670224247511692,1,0.9420098846787479,1,0.9137380191693291,1
calibrated_control,419,global_threshold,0.9726666666666667,0.0047613333333333336,0.04758333333333333,0.9850101930687133,0.027341407842666986,0.9607907742998353,0.07314662273476112,0.865814696485623,0.19329073482428116
calibrated_control,419,stratum_threshold,0.98125,0.005391999999999999,0.087,0.9850101930687133,0.027341407842666986,0.9802306425041186,0.09456342668863262,0.9361022364217252,0.8450479233226837
calibrated_control,419,oracle,0.9963333333333333,0.005104,0.069,0.9986808969900468,0.040172682575848426,0.9934102141680395,0.1014827018121911,0.9792332268370607,0.2955271565495208
calibrated_control,420,strong_only,0.9588333333333333,0.02,1,0.966940183137115,1,0.9458030403172505,1,0.9079646017699115,1
calibrated_control,420,global_threshold,0.97325,0.004794666666666667,0.049666666666666665,0.9845403734094422,0.03020573195385896,0.9629874421678783,0.07435558493060146,0.8601769911504424,0.20707964601769913
calibrated_control,420,stratum_threshold,0.9815833333333334,0.005344,0.084,0.9845403734094422,0.03020573195385896,0.9844679444811633,0.09649702577660278,0.9221238938053097,0.8176991150442477
calibrated_control,420,oracle,0.9964166666666666,0.0051199999999999996,0.07,0.9989297181591152,0.04364371506718991,0.9953734302709848,0.10277594183740912,0.9646017699115044,0.2867256637168142
calibrated_control,421,strong_only,0.95225,0.02,1,0.9637906309751434,1,0.9333992746455655,1,0.8864774624373957,1
calibrated_control,421,global_threshold,0.9725833333333334,0.004712,0.0445,0.9837476099426387,0.028322179732313577,0.9571381470491263,0.06198483349818661,0.8948247078464107,0.18196994991652754
calibrated_control,421,stratum_threshold,0.978,0.005308,0.08175,0.9837476099426387,0.028322179732313577,0.9775799538410814,0.08440487965710518,0.8998330550918197,0.8146911519198664
calibrated_control,421,oracle,0.9958333333333333,0.005042666666666667,0.06516666666666666,0.9984464627151052,0.04206500956022945,0.9943949884602704,0.09594460929772503,0.9666110183639399,0.23205342237061768
calibrated_control,422,strong_only,0.9541666666666667,0.02,1,0.9657501205981669,1,0.9375408763897972,1,0.8846153846153846,1
calibrated_control,422,global_threshold,0.97225,0.004756,0.04725,0.9838398456343463,0.027616980221900626,0.9587965990843689,0.06769130150425115,0.8876923076923077,0.20153846153846153
calibrated_control,422,stratum_threshold,0.9783333333333334,0.005373333333333333,0.08583333333333333,0.9838398456343463,0.027616980221900626,0.9803793328973185,0.08992805755395683,0.8984615384615384,0.8092307692307692
calibrated_control,422,oracle,0.9958333333333333,0.005086666666666667,0.06791666666666667,0.999155812831645,0.04220935841775205,0.9944408109875735,0.09941137998691955,0.96,0.24769230769230768
calibrated_control,423,strong_only,0.9546666666666667,0.02,1,0.965809922295278,1,0.9311023622047244,1,0.9182282793867121,1
calibrated_control,423,global_threshold,0.97525,0.004758666666666667,0.04741666666666667,0.9846981470412433,0.02857142857142857,0.963254593175853,0.0718503937007874,0.9028960817717206,0.1890971039182283
calibrated_control,423,stratum_threshold,0.9815,0.005326666666666667,0.08291666666666667,0.9846981470412433,0.02857142857142857,0.9816272965879265,0.09219160104986876,0.9352640545144804,0.8091993185689949
calibrated_control,423,oracle,0.9961666666666666,0.00506,0.06625,0.9986849970113568,0.041601912731619846,0.9934383202099738,0.09908136482939632,0.9744463373083475,0.24701873935264054
calibrated_control,424,strong_only,0.95625,0.02,1,0.967507736253273,1,0.9363969363969364,1,0.8974789915966387,1
calibrated_control,424,global_threshold,0.97325,0.004818666666666667,0.051166666666666666,0.9819090692692216,0.033563437276838845,0.9660339660339661,0.0735930735930736,0.8873949579831932,0.1865546218487395
calibrated_control,424,stratum_threshold,0.97925,0.005361333333333334,0.08508333333333333,0.9819090692692216,0.033563437276838845,0.9823509823509824,0.09057609057609058,0.9260504201680673,0.7848739495798319
calibrated_control,424,oracle,0.9964166666666666,0.0051533333333333336,0.07208333333333333,0.9983337300642704,0.04903594382289931,0.995004995004995,0.09923409923409923,0.9764705882352941,0.2605042016806723
calibrated_control,425,strong_only,0.9525,0.02,1,0.9646321268038798,1,0.9296482412060302,1,0.8912655971479501,1
calibrated_control,425,global_threshold,0.9719166666666667,0.004758666666666667,0.04741666666666667,0.9829666430092264,0.028507215519280815,0.9614740368509213,0.07403685092127303,0.8609625668449198,0.19073083778966132
calibrated_control,425,stratum_threshold,0.9784166666666667,0.005313333333333334,0.08208333333333333,0.9829666430092264,0.028507215519280815,0.9795644891122278,0.09380234505862646,0.9037433155080213,0.8270944741532977
calibrated_control,425,oracle,0.9946666666666667,0.005064,0.0665,0.9982256919801278,0.04270167967825881,0.9912897822445561,0.09715242881072027,0.9590017825311943,0.2620320855614973
calibrated_control,426,strong_only,0.9585833333333333,0.02,1,0.9701119314122411,1,0.9365448504983389,1,0.9070945945945946,1
calibrated_control,426,global_threshold,0.9730833333333333,0.004816,0.051,0.9857108835437008,0.03012622052869731,0.9524916943521595,0.08139534883720931,0.8986486486486487,0.19256756756756757
calibrated_control,426,stratum_threshold,0.9808333333333333,0.005404,0.08775,0.9857108835437008,0.03012622052869731,0.9780730897009967,0.10897009966777409,0.9256756756756757,0.7972972972972973
calibrated_control,426,oracle,0.9959166666666667,0.005137333333333333,0.07108333333333333,0.9990473922362467,0.042748273398428197,0.9910299003322259,0.11362126245847176,0.9763513513513513,0.25675675675675674
calibrated_control,427,strong_only,0.95525,0.02,1,0.9642013232514177,1,0.9399317406143345,1,0.9042904290429042,1
