repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
72,no-pause-80,closed_loop,80,3951,3951,79.02,10.151865790008742,21.50930026511196,30.5696748287628,51.62022554944815,true
73,no-pause-80,open_loop,80,3952,3950,79.04,16.66648082575557,50.77456717992027,72.76150796909496,107.81384203393463,true
73,no-pause-80,closed_loop,80,3956,3955,79.12,10.050298313013627,21.40235716598545,29.13738744564762,41.915999157299666,true
74,no-pause-80,open_loop,80,3955,3953,79.1,15.78874024072502,48.156774907707586,64.1489557097666,95.47898319709202,true
74,no-pause-80,closed_loop,80,3958,3956,79.16,9.981800801400823,21.01875413750895,27.384918190226017,40.3794541425159,true
75,no-pause-80,open_loop,80,3958,3958,79.16,16.661425418325962,58.76187678187125,90.41678441658587,120.47959849092149,true
75,no-pause-80,closed_loop,80,3956,3955,79.12,10.148879365464381,20.873583712433174,28.278328251602943,39.1460907792989,true
76,no-pause-80,open_loop,80,4053,4051,81.06,16.544008012177073,48.54929591993641,67.49045520757318,106.70409930507594,true
76,no-pause-80,closed_loop,80,3960,3959,79.2,10.024346604914172,20.82653581285558,27.47290004578099,43.03636033570365,true
77,no-pause-80,open_loop,80,3909,3908,78.18,16.833235888458148,58.66674614846124,104.43867060906632,142.55724508132698,false
77,no-pause-80,closed_loop,80,3956,3955,79.12,10.03416399717753,21.83615563494095,29.08798053186183,44.338584349141456,true
78,no-pause-80,open_loop,80,3956,3953,79.12,17.147041558815545,59.77551403069083,92.41847049066928,145.55192155948316,true
78,no-pause-80,closed_loop,80,3955,3954,79.1,10.066282280211453,22.227960185284246,28.82761219337408,42.51513779615925,true
79,no-pause-80,open_loop,80,3970,3970,79.4,17.114811290739453,59.82181808704627,89.48635591307539,129.26037759361498,true
79,no-pause-80,closed_loop,80,3947,3946,78.94,10.233101029101817,22.172649258391175,30.63101111760625,60.741676197663764,true
80,no-pause-80,open_loop,80,3911,3910,78.22,17.042368903354145,55.19494451166611,86.32124045425007,131.27170925627797,true
80,no-pause-80,closed_loop,80,3955,3955,79.1,10.127649775486134,21.179090076402645,26.63629426141415,39.18259581114762,true
81,no-pause-80,open_loop,80,4062,4062,81.24,18.594055672168906,61.41523536235036,90.92437758550841,157.54853751016344,true
81,no-pause-80,closed_loop,80,3954,3954,79.08,10.251806417240005,20.995357600200805,27.507556465207017,48.95420511471457,true
82,no-pause-80,open_loop,80,3927,3927,78.54,17.381461777651566,55.08311136125121,84.24096334761998,110.85897382863914,true
82,no-pause-80,closed_loop,80,3950,3949,79,10.373991379085055,21.395803567367693,30.876974169323148,55.60104616782337,true
83,no-pause-80,open_loop,80,4016,4013,80.32,17.464597963597043,55.864267520144494,76.420381741038,122.3010344597642,true
83,no-pause-80,closed_loop,80,3960,3958,79.2,10.00626398903114,20.45120267339371,27.96930906081252,43.09432512992498,true
84,no-pause-80,open_loop,80,3992,3990,79.84,16.67016497084478,55.15946734800673,75.2388404038793,94.73264887498226,true
84,no-pause-80,closed_loop,80,3953,3952,79.06,10.171755123199546,21.352344922393968,28.802776264186832,41.91835137621456,true
85,no-pause-80,open_loop,80,3978,3978,79.56,17.754905168232654,62.16912813308045,98.24406781915968,146.90393012522873,true
85,no-pause-80,closed_loop,80,3957,3956,79.14,9.999214931456663,21.519322518041008,29.515837807521166,41.998382805461006,true
86,no-pause-80,open_loop,80,4028,4025,80.56,17.0091900269872,53.650140298159386,78.40314947957086,130.32420506418566,true
86,no-pause-80,closed_loop,80,3949,3949,78.98,10.434820006761583,22.262341182213277,29.87629325027956,47.710945509265,true
87,no-pause-80,open_loop,80,3935,3932,78.7,16.309426563086163,54.15546943304798,91.7196326251651,120.97292388470305,true
87,no-pause-80,closed_loop,80,3955,3955,79.1,10.061861015172326,21.203433416769258,28.94356180050454,45.178640957703465,true
88,no-pause-80,open_loop,80,3985,3984,79.7,16.519187617850548,49.60511927079642,67.71782677099691,117.75289323506149,true
88,no-pause-80,closed_loop,80,3947,3946,78.94,10.362669492453279,22.597336884728065,28.79111029715932,39.03816067365551,true
89,no-pause-80,open_loop,80,4117,4117,82.34,17.845385024440475,55.82153500221102,79.0215208725167,112.31713531087371,true
89,no-pause-80,closed_loop,80,3951,3951,79.02,10.281332122161984,21.887097803888537,28.634948092621926,43.13791798964485,true
