scenario,repeat,policy,fieldAccuracy,wholeAccuracy,longAccuracy,criticalAccuracy,approved,falseApproval
mixed-correlated,37,field-average,0.9938373804267844,0.9456666666666667,0.8989310009718173,0.9935,1,1
mixed-correlated,37,whole-call,0.9938373804267844,0.9456666666666667,0.8989310009718173,0.9935,0,0
mixed-correlated,37,joint-long-schema,0.9938373804267844,0.9456666666666667,0.8989310009718173,0.9935,0,0
mixed-correlated,38,field-average,0.994856701153526,0.9516666666666667,0.9167420814479638,0.9936666666666667,1,0
mixed-correlated,38,whole-call,0.994856701153526,0.9516666666666667,0.9167420814479638,0.9936666666666667,1,0
mixed-correlated,38,joint-long-schema,0.994856701153526,0.9516666666666667,0.9167420814479638,0.9936666666666667,1,0
mixed-correlated,39,field-average,0.9941116690578671,0.9423333333333334,0.8976525821596244,0.9936666666666667,1,1
mixed-correlated,39,whole-call,0.9941116690578671,0.9423333333333334,0.8976525821596244,0.9936666666666667,0,0
mixed-correlated,39,joint-long-schema,0.9941116690578671,0.9423333333333334,0.8976525821596244,0.9936666666666667,0,0
mixed-correlated,40,field-average,0.9947266335313372,0.948,0.9078212290502793,0.9958333333333333,1,1
mixed-correlated,40,whole-call,0.9947266335313372,0.948,0.9078212290502793,0.9958333333333333,0,0
mixed-correlated,40,joint-long-schema,0.9947266335313372,0.948,0.9078212290502793,0.9958333333333333,0,0
mixed-correlated,41,field-average,0.994598388671875,0.9463333333333334,0.8933463796477495,0.9945,1,1
mixed-correlated,41,whole-call,0.994598388671875,0.9463333333333334,0.8933463796477495,0.9945,0,0
mixed-correlated,41,joint-long-schema,0.994598388671875,0.9463333333333334,0.8933463796477495,0.9945,0,0
mixed-correlated,42,field-average,0.9947582634435126,0.9523333333333334,0.926711668273867,0.9943333333333333,1,0
mixed-correlated,42,whole-call,0.9947582634435126,0.9523333333333334,0.926711668273867,0.9943333333333333,1,0
mixed-correlated,42,joint-long-schema,0.9947582634435126,0.9523333333333334,0.926711668273867,0.9943333333333333,1,0
mixed-correlated,43,field-average,0.9947692307692307,0.957,0.9212598425196851,0.9936666666666667,1,0
mixed-correlated,43,whole-call,0.9947692307692307,0.957,0.9212598425196851,0.9936666666666667,1,0
mixed-correlated,43,joint-long-schema,0.9947692307692307,0.957,0.9212598425196851,0.9936666666666667,1,0
mixed-correlated,44,field-average,0.9935254027261462,0.948,0.903448275862069,0.9925,1,1
mixed-correlated,44,whole-call,0.9935254027261462,0.948,0.903448275862069,0.9925,0,0
mixed-correlated,44,joint-long-schema,0.9935254027261462,0.948,0.903448275862069,0.9925,0,0
mixed-correlated,45,field-average,0.994350456902939,0.9493333333333334,0.8983903420523138,0.9948333333333333,1,1
mixed-correlated,45,whole-call,0.994350456902939,0.9493333333333334,0.8983903420523138,0.9948333333333333,0,0
mixed-correlated,45,joint-long-schema,0.994350456902939,0.9493333333333334,0.8983903420523138,0.9948333333333333,0,0
mixed-correlated,46,field-average,0.9937705688763516,0.9436666666666667,0.902283105022831,0.9935,1,1
mixed-correlated,46,whole-call,0.9937705688763516,0.9436666666666667,0.902283105022831,0.9935,0,0
mixed-correlated,46,joint-long-schema,0.9937705688763516,0.9436666666666667,0.902283105022831,0.9935,0,0
mixed-correlated,47,field-average,0.9942142251302557,0.948,0.8962264150943396,0.996,1,1
mixed-correlated,47,whole-call,0.9942142251302557,0.948,0.8962264150943396,0.996,0,0
mixed-correlated,47,joint-long-schema,0.9942142251302557,0.948,0.8962264150943396,0.996,0,0
mixed-correlated,48,field-average,0.9945638895675544,0.948,0.9073359073359073,0.9955,1,1
mixed-correlated,48,whole-call,0.9945638895675544,0.948,0.9073359073359073,0.9955,0,0
mixed-correlated,48,joint-long-schema,0.9945638895675544,0.948,0.9073359073359073,0.9955,0,0
mixed-correlated,49,field-average,0.9944002447980416,0.9486666666666667,0.9083743842364532,0.9951666666666666,1,1
mixed-correlated,49,whole-call,0.9944002447980416,0.9486666666666667,0.9083743842364532,0.9951666666666666,0,0
mixed-correlated,49,joint-long-schema,0.9944002447980416,0.9486666666666667,0.9083743842364532,0.9951666666666666,0,0
mixed-correlated,50,field-average,0.9945153213306307,0.9473333333333334,0.9005681818181818,0.9943333333333333,1,1
mixed-correlated,50,whole-call,0.9945153213306307,0.9473333333333334,0.9005681818181818,0.9943333333333333,0,0
mixed-correlated,50,joint-long-schema,0.9945153213306307,0.9473333333333334,0.9005681818181818,0.9943333333333333,0,0
mixed-correlated,51,field-average,0.9942184021766015,0.9523333333333334,0.9078295341922695,0.9951666666666666,1,0
mixed-correlated,51,whole-call,0.9942184021766015,0.9523333333333334,0.9078295341922695,0.9951666666666666,1,0
mixed-correlated,51,joint-long-schema,0.9942184021766015,0.9523333333333334,0.9078295341922695,0.9951666666666666,1,0
mixed-correlated,52,field-average,0.9949473810093279,0.948,0.9077490774907749,0.9928333333333333,1,1
mixed-correlated,52,whole-call,0.9949473810093279,0.948,0.9077490774907749,0.9928333333333333,0,0
mixed-correlated,52,joint-long-schema,0.9949473810093279,0.948,0.9077490774907749,0.9928333333333333,0,0
mixed-correlated,53,field-average,0.9942142251302557,0.9456666666666667,0.9037536092396535,0.9938333333333333,1,1
mixed-correlated,53,whole-call,0.9942142251302557,0.9456666666666667,0.9037536092396535,0.9938333333333333,0,0
