workload,rate,repeat,policy,throughputRps,dropRate,meanLatencySeconds,p95LatencySeconds,p99LatencySeconds,p95QueueWaitSeconds,shortP95LatencySeconds,longP95LatencySeconds,sloAttainment,oversubscribedFraction,meanActive
fixed-control,5.5,33,estimated-budget-shortest-first,4.477777777777778,0.22,12.476740904555689,12.902594846606263,12.919082431653905,9.977650464462677,12.902594846606263,,0,0,12.85819841758525
fixed-control,5.5,33,underestimated-token-budget,4.496296296296296,0.2167741935483871,15.256204585000576,15.818319402407099,15.845209511450037,9.968895120796503,15.818319402407099,,0,0.27814616666851394,25.508847908298037
fixed-control,5.5,33,overestimated-token-budget,4.466666666666667,0.22193548387096773,10.898561131450101,11.318353777300104,11.343620451714031,9.96840209757329,11.318353777300104,,0,0,5.9751655632872325
fixed-control,5.5,33,oracle-token-budget,4.477777777777778,0.22,12.476740904555689,12.902594846606263,12.919082431653905,9.977650464462677,12.902594846606263,,0,0,12.85819841758525
fixed-control,5.5,34,request-count-16,4.525925925925926,0.17096336499321574,12.677751657066805,13.548085680941824,13.593482833238497,9.949310743288464,13.548085680941824,,0,0,15.495977210460298
fixed-control,5.5,34,estimated-token-budget,4.518518518518518,0.1723202170963365,12.025615844222761,12.867009418957565,12.91457473755807,9.942009418957554,12.867009418957565,,0,0,12.629736167961028
fixed-control,5.5,34,estimated-budget-shortest-first,4.518518518518518,0.1723202170963365,12.025615844222761,12.867009418957565,12.91457473755807,9.942009418957554,12.867009418957565,,0,0,12.629736167961028
fixed-control,5.5,34,underestimated-token-budget,4.551851851851852,0.16621438263229307,14.815158722517863,15.804931388174282,15.840946654364387,9.956465906078108,15.804931388174282,,0,0.3012683053587601,24.971318201245094
fixed-control,5.5,34,overestimated-token-budget,4.503703703703704,0.17503392130257803,10.587948853973217,11.298067363997674,11.34320930282746,9.94806736399768,11.298067363997674,,0,0,5.87711714165629
fixed-control,5.5,34,oracle-token-budget,4.518518518518518,0.1723202170963365,12.025615844222761,12.867009418957565,12.91457473755807,9.942009418957554,12.867009418957565,,0,0,12.629736167961028
fixed-control,5.5,35,request-count-16,4.511111111111111,0.18528428093645485,12.924709198853304,13.568445719482867,13.593303628848304,9.96936081883851,13.568445719482867,,0,0,15.73158409372226
