workload,rate,repeat,requests,mean_tokens,p50_tokens,p95_tokens,p99_tokens,long_fraction
heavy-tail,5.5,11,1652,961.2717917675545,290,4668,8000,0.2033898305084746
heavy-tail,5.5,12,1687,893.4107883817427,284,4458,6725,0.19205690574985182
heavy-tail,5.5,13,1620,929.6123456790124,276,4639,8000,0.19074074074074074
heavy-tail,5.5,14,1629,921.719459791283,281,4367,7400,0.1958256599140577
heavy-tail,5.5,15,1640,947.1085365853659,283,4689,7840,0.19878048780487806
heavy-tail,5.5,16,1677,1000.0960047704234,295,5005,7839,0.2146690518783542
heavy-tail,5.5,17,1624,949.60960591133,280,4453,7843,0.2001231527093596
heavy-tail,5.5,18,1688,926.8536729857819,283,4528,7654,0.20023696682464456
heavy-tail,5.5,19,1626,1005.8985239852399,283,4891,8000,0.2091020910209102
heavy-tail,5.5,20,1630,861.5650306748466,281,4278,8000,0.17668711656441718
heavy-tail,5.5,21,1666,999.154861944778,295,4923,7657,0.21068427370948378
heavy-tail,5.5,22,1665,986.7513513513513,290,4692,7925,0.21621621621621623
heavy-tail,5.5,23,1617,1008.08719851577,302,4787,8000,0.21768707482993196
heavy-tail,5.5,24,1710,990.8233918128655,289,4846,8000,0.20584795321637428
heavy-tail,5.5,25,1580,935.3253164556962,284,4643,7888,0.19683544303797468
heavy-tail,5.5,26,1718,987.0890570430734,300,4695,8000,0.20954598370197905
heavy-tail,5.5,27,1658,950.1079613992763,281,4613,7454,0.19722557297949336
heavy-tail,5.5,28,1656,875.8158212560387,278,4385,7437,0.18115942028985507
heavy-tail,5.5,29,1641,999.4546008531383,293,4754,7515,0.20780012187690433
heavy-tail,5.5,30,1654,927.0701330108827,279,4580,7800,0.1977025392986699
heavy-tail,5.5,31,1731,870.8526863084923,291,4173,7328,0.1900635470826112
heavy-tail,5.5,32,1657,947.9136994568497,280,4710,7649,0.19312009656004828
heavy-tail,5.5,33,1649,961.8932686476652,293,4791,7233,0.19890842935112188
