workload,rate,repeat,requests,mean_tokens,p50_tokens,p95_tokens,p99_tokens,long_fraction
fixed-control,5.5,15,1651,900,900,900,900,0
fixed-control,5.5,16,1633,900,900,900,900,0
fixed-control,5.5,17,1708,900,900,900,900,0
fixed-control,5.5,18,1673,900,900,900,900,0
fixed-control,5.5,19,1693,900,900,900,900,0
fixed-control,5.5,20,1630,900,900,900,900,0
fixed-control,5.5,21,1723,900,900,900,900,0
fixed-control,5.5,22,1649,900,900,900,900,0
fixed-control,5.5,23,1616,900,900,900,900,0
fixed-control,5.5,24,1683,900,900,900,900,0
fixed-control,5.5,25,1606,900,900,900,900,0
fixed-control,5.5,26,1610,900,900,900,900,0
fixed-control,5.5,27,1739,900,900,900,900,0
fixed-control,5.5,28,1652,900,900,900,900,0
fixed-control,5.5,29,1554,900,900,900,900,0
fixed-control,5.5,30,1711,900,900,900,900,0
fixed-control,5.5,31,1628,900,900,900,900,0
fixed-control,5.5,32,1629,900,900,900,900,0
fixed-control,5.5,33,1724,900,900,900,900,0
fixed-control,5.5,34,1625,900,900,900,900,0
fixed-control,5.5,35,1661,900,900,900,900,0
fixed-control,5.5,36,1724,900,900,900,900,0
fixed-control,5.5,37,1688,900,900,900,900,0
fixed-control,5.5,38,1672,900,900,900,900,0
fixed-control,5.5,39,1690,900,900,900,900,0
fixed-control,5.5,40,1634,900,900,900,900,0
fixed-control,5.5,41,1651,900,900,900,900,0
fixed-control,5.5,42,1628,900,900,900,900,0
fixed-control,5.5,43,1663,900,900,900,900,0
fixed-control,5.5,44,1709,900,900,900,900,0
fixed-control,5.5,45,1647,900,900,900,900,0
fixed-control,5.5,46,1601,900,900,900,900,0
fixed-control,5.5,47,1674,900,900,900,900,0
fixed-control,5.5,48,1687,900,900,900,900,0
fixed-control,5.5,49,1644,900,900,900,900,0
fixed-control,5.5,50,1641,900,900,900,900,0
fixed-control,5.5,51,1669,900,900,900,900,0
fixed-control,5.5,52,1621,900,900,900,900,0
fixed-control,5.5,53,1662,900,900,900,900,0
fixed-control,5.5,54,1606,900,900,900,900,0
fixed-control,5.5,55,1605,900,900,900,900,0
fixed-control,5.5,56,1648,900,900,900,900,0
fixed-control,5.5,57,1684,900,900,900,900,0
fixed-control,5.5,58,1640,900,900,900,900,0
fixed-control,5.5,59,1665,900,900,900,900,0
fixed-control,5.5,60,1658,900,900,900,900,0
fixed-control,5.5,61,1568,900,900,900,900,0
fixed-control,5.5,62,1606,900,900,900,900,0
fixed-control,5.5,63,1630,900,900,900,900,0
fixed-control,5.5,64,1720,900,900,900,900,0
fixed-control,5.5,65,1666,900,900,900,900,0
fixed-control,5.5,66,1643,900,900,900,900,0
fixed-control,5.5,67,1601,900,900,900,900,0
fixed-control,5.5,68,1626,900,900,900,900,0
fixed-control,5.5,69,1718,900,900,900,900,0
fixed-control,5.5,70,1594,900,900,900,900,0
fixed-control,5.5,71,1587,900,900,900,900,0
fixed-control,5.5,72,1618,900,900,900,900,0
fixed-control,5.5,73,1614,900,900,900,900,0
fixed-control,5.5,74,1673,900,900,900,900,0
fixed-control,5.5,75,1620,900,900,900,900,0
fixed-control,5.5,76,1642,900,900,900,900,0
fixed-control,5.5,77,1633,900,900,900,900,0
fixed-control,5.5,78,1658,900,900,900,900,0
fixed-control,5.5,79,1595,900,900,900,900,0
