repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
31,no-pause-80,open_loop,80,4000,3999,80,8.877424913654977,16.400823530508205,20.232619309221263,30.98492549177172,true
31,no-pause-80,closed_loop,80,3954,3953,79.08,10.102481233836443,21.569686738599557,29.60000252516329,47.777602385254795,true
32,no-pause-80,open_loop,80,4000,3999,80,8.759718064713525,16.455008032098704,21.184292907268173,29.82965095882537,true
32,no-pause-80,closed_loop,80,3952,3949,79.04,10.284169589387602,21.243475527451665,27.81041870117224,41.45331413757958,true
33,no-pause-80,open_loop,80,4000,3999,80,8.936827166584408,16.657348240587453,21.34451593079575,30.08375425576378,true
33,no-pause-80,closed_loop,80,3958,3957,79.16,10.021494089683983,20.54858170051739,28.497879455295333,49.85524834909302,true
34,no-pause-80,open_loop,80,4000,3999,80,9.076593208919803,16.954496586227833,21.823456542073473,34.976913534857886,true
34,no-pause-80,closed_loop,80,3960,3958,79.2,9.916978301507697,20.858849275376997,27.907105909325765,39.202694879466435,true
35,no-pause-80,open_loop,80,4000,3999,80,8.740429318997485,16.1525644833564,20.62604381665915,29.881851419821032,true
35,no-pause-80,closed_loop,80,3952,3951,79.04,10.20610557650798,21.242165296018356,27.479439042650483,46.15630610583139,true
36,no-pause-80,open_loop,80,4000,3998,80,8.953735743643847,17.039350184451905,22.41822035997029,34.699624224725994,true
36,no-pause-80,closed_loop,80,3959,3959,79.18,10.034631563496077,20.494599900477624,26.820374798575358,37.77494531720731,true
37,no-pause-80,open_loop,80,4000,3999,80,8.858352426850615,16.713075986688636,22.097207351038378,27.91739611777666,true
37,no-pause-80,closed_loop,80,3953,3952,79.06,10.188686764100567,21.641628741104796,28.86200661435214,48.06980419279353,true
38,no-pause-80,open_loop,80,4000,3999,80,8.962086960469605,16.877334300654184,21.792845666379435,36.99688647370567,true
38,no-pause-80,closed_loop,80,3962,3962,79.24,10.046560584858526,19.976134780426946,25.26050719916384,39.07590407972384,true
39,no-pause-80,open_loop,80,4000,3999,80,8.963097897543776,17.612240431255486,22.95948224386848,36.90211631848797,true
39,no-pause-80,closed_loop,80,3958,3957,79.16,10.020844258975558,20.917881758023213,28.58828479155636,46.17161336085701,true
40,no-pause-80,open_loop,80,4000,3999,80,8.936012574671622,16.308621333497285,21.33794999899328,33.48491371949058,true
40,no-pause-80,closed_loop,80,3957,3956,79.14,10.104060065379599,21.149851806098013,29.357252676705684,38.972557536224485,true
41,no-pause-80,open_loop,80,4000,4000,80,8.816551523472299,16.45712199753143,20.83152303303723,32.78729849130468,true
41,no-pause-80,closed_loop,80,3958,3957,79.16,10.148080325438059,20.719299971293367,26.408951334084122,41.46451900587272,true
42,no-pause-80,open_loop,80,4000,3999,80,8.87325056741247,16.328725305585976,21.70380055685382,31.301904067167925,true
42,no-pause-80,closed_loop,80,3956,3955,79.12,10.026429827157699,21.1760953125995,29.31558871278139,41.9259971349602,true
43,no-pause-80,open_loop,80,4000,3999,80,8.864501272946654,16.33368939227512,21.652138181441842,36.6099746368709,true
43,no-pause-80,closed_loop,80,3957,3956,79.14,9.92715577603667,21.54560030479115,30.822703251065832,43.609962485934375,true
44,no-pause-80,open_loop,80,4000,4000,80,8.855788334643876,16.616965396759042,21.863452498037077,34.47161295780825,true
44,no-pause-80,closed_loop,80,3957,3956,79.14,9.97759061641409,21.03848352376008,28.366364569490543,45.48443122236495,true
45,no-pause-80,open_loop,80,4000,3999,80,8.863956976023474,16.45207833101813,21.393649486548384,32.51789083097174,true
45,no-pause-80,closed_loop,80,3950,3950,79,10.34791651705018,21.691173833802168,29.081625451006403,51.666474853733234,true
46,no-pause-80,open_loop,80,4000,3999,80,8.932286728537292,16.074820937314144,20.919912897510585,34.36690161416482,true
46,no-pause-80,closed_loop,80,3957,3957,79.14,10.017272218154176,21.100781495249976,27.30322299834006,42.14481045387947,true
47,no-pause-80,open_loop,80,4000,4000,80,8.765946440180414,16.00542967813817,20.086757584882434,27.132768623021548,true
47,no-pause-80,closed_loop,80,3953,3951,79.06,10.206733232071201,21.383427066328295,29.5188809441388,42.604776119704184,true
48,no-pause-80,open_loop,80,4000,3999,80,9.057775894376391,17.015833290326555,22.141712341472157,30.37402179966739,true
48,no-pause-80,closed_loop,80,3954,3951,79.08,10.165776752779493,21.957381393091055,31.87109527040957,50.00805163480254,true
49,no-pause-80,open_loop,80,4000,3999,80,8.886300264457532,17.037340494258387,22.197753544372972,28.159408407656883,true
49,no-pause-80,closed_loop,80,3960,3960,79.2,9.947385668230709,20.106501744237903,26.788791579967437,59.56907849308482,true
50,no-pause-80,open_loop,80,4000,4000,80,8.912352935360104,16.72288085175387,23.26443452062813,35.836323031231586,true
50,no-pause-80,closed_loop,80,3956,3955,79.12,10.04361687306664,21.150516010511637,28.841089375804586,42.83211035402201,true
51,no-pause-80,open_loop,80,4000,4000,80,8.839455539353366,16.832177839594806,21.24829519823834,27.903029715336743,true
51,no-pause-80,closed_loop,80,3958,3957,79.16,9.93219633508852,20.89715227457782,28.439556408637145,46.09702438436943,true
52,no-pause-80,open_loop,80,4000,4000,80,8.955704570216767,16.989540369679162,21.886714370397385,39.66376284203943,true
52,no-pause-80,closed_loop,80,3955,3954,79.1,10.290843009555829,21.359116557297966,27.767719167488394,48.19639530576751,true
53,no-pause-80,open_loop,80,4000,3999,80,8.971601024528354,17.012008398811304,21.08851211709407,29.705742622587422,true
53,no-pause-80,closed_loop,80,3959,3959,79.18,9.91595376278201,20.61166165873874,25.928563150828268,52.58814989509847,true
54,no-pause-80,open_loop,80,4000,3999,80,8.911912034069246,16.69931684502808,21.225222062883404,32.634898282954964,true
54,no-pause-80,closed_loop,80,3955,3954,79.1,10.168948887574516,21.224680826333497,27.386842131600133,38.522123906026536,true
55,no-pause-80,open_loop,80,4000,4000,80,8.856748994789086,16.21254967587447,20.24629922088934,27.881699782825308,true
55,no-pause-80,closed_loop,80,3957,3956,79.14,10.048030024045147,21.060790121542595,27.6125618514925,36.421007122975425,true
