scenario,repeat,replay,criticalPathP50,criticalPathP95,criticalPathP99,deadlineMissRate,toolSecondsP50,toolSecondsP95,toolSecondsP99,meanPairwiseCorrelation
shared_incident,16,row_preserved,0.367559601961486,1.4777135268276271,2.961645559860243,0.049,0.9150692048788838,3.651593926316303,6.216251581543234,0.7265951535239153
shared_incident,16,column_shuffled,0.41743159994721235,1.6896980522299374,2.9981294015072697,0.071,1.0001983991878123,2.5614587459563656,3.812844514952802,-0.006451685302564313
shared_incident,16,incident_stratified,0.36954178158456874,1.5959022892747925,2.9646842994487685,0.0566,0.9145976425741933,3.92829104169271,5.760270225165803,0.6376658414294849
shared_incident,17,row_preserved,0.3708580910640912,1.431610289250054,2.6656302833067946,0.047,0.922916821179353,3.594278972335063,6.366135834490696,0.718092829611936
shared_incident,17,column_shuffled,0.4189940939747487,1.738701928163683,2.7411275426266,0.0684,1.000436778717765,2.571999701175163,3.7145787875551415,0.003542075532714886
shared_incident,17,incident_stratified,0.370492001052664,1.5905853745011465,2.7075823437248223,0.054,0.9183496579245407,3.941872044423868,5.608875138642777,0.6263137272718459
shared_incident,18,row_preserved,0.3654878440831475,1.3673526473397541,2.6221516594553362,0.041,0.9149216369027081,3.4428784510724,5.881616105886634,0.7169389650009456
shared_incident,18,column_shuffled,0.41093064032253246,1.56694269053996,2.6676148677203226,0.0574,0.9862137986680567,2.349861264692136,3.670478709194492,-0.002021373876087021
shared_incident,18,incident_stratified,0.36611989554407515,1.4047107446540086,2.6386404473315026,0.0438,0.9186937792075793,3.6397737426390306,5.812532631357163,0.639327813761189
shared_incident,19,row_preserved,0.36601777860105944,1.4213156690733395,2.6680234656808164,0.047,0.9113465260747141,3.665446257901853,6.204903702413111,0.7264824486562302
shared_incident,19,column_shuffled,0.41426889319759025,1.7408418826957013,2.68952609413505,0.0682,0.9932162473825821,2.5275649198120727,3.662511474212444,0.0027347370241276162
shared_incident,19,incident_stratified,0.3652434730325197,1.569410577672283,2.6775090628072302,0.0526,0.9122164836416267,3.947891562431181,5.785530178270516,0.6240376640388062
shared_incident,20,row_preserved,0.3714315368311545,1.4055369253058418,2.647751898478974,0.0456,0.9191758081489669,3.5006746922943,5.651592492816848,0.6930465496596296
shared_incident,20,column_shuffled,0.41589713967839725,1.613531744492454,2.7310664166688836,0.058,0.999827573610808,2.382936953498307,3.5940971175207403,-0.005232984841628739
shared_incident,20,incident_stratified,0.3709206710064682,1.4740359940112913,2.7021768495069467,0.0484,0.9215138259839462,3.638442213400317,5.401540997747805,0.6129441797893534
shared_incident,21,row_preserved,0.3728426866357908,1.4269324354110087,2.6775678967822607,0.0466,0.9253993607179134,3.7088733053563945,6.121665460887252,0.7224360283013903
