repeat,scenario,policy,parents,successRate,latencyP95,workerSecondsPerParent,orphanSecondsPerParent,orphanShare,maxQueue
11,steady,cooperative_250ms,434,0.5783410138248848,5.854037054218736,15.87868008621372,0.16413150211848354,0.010336596066381282,77
11,bursty,no_cancel,347,0.4409221902017291,5.803503018408719,16.831582943940727,3.285252949736129,0.1951838374725653,105
11,bursty,queued_only,347,0.4553314121037464,5.803503018408719,16.223166367706046,2.3783788268223165,0.14660386097973666,104
11,bursty,cooperative_1000ms,347,0.47262247838616717,5.786539052017716,15.474512050092567,1.010018958892588,0.06526984215224714,93
11,bursty,cooperative_250ms,347,0.48703170028818443,5.810380898998055,15.155852295537445,0.274824437818764,0.018133222233874927,85
11,no_timeout_control,no_cancel,478,1,15.845231378832409,16.30212498753525,0,0,105
11,no_timeout_control,queued_only,478,1,15.845231378832409,16.30212498753525,0,0,105
11,no_timeout_control,cooperative_1000ms,478,1,15.845231378832409,16.30212498753525,0,0,105
11,no_timeout_control,cooperative_250ms,478,1,15.845231378832409,16.30212498753525,0,0,105
12,steady,no_cancel,446,0.5112107623318386,5.775037592165276,16.5876880529375,1.8850548174296384,0.1136418053808177,67
12,steady,queued_only,446,0.5201793721973094,5.767282826547124,16.487281915263853,1.6229799824110662,0.09843829872942966,67
12,steady,cooperative_1000ms,446,0.5448430493273543,5.770294294472279,15.905991888914185,0.5983980580535615,0.03762092060858022,57
12,steady,cooperative_250ms,446,0.5627802690582959,5.806200558709662,15.642654704242364,0.16648344969742562,0.010642915339189485,52
12,bursty,no_cancel,366,0.33879781420765026,5.870297243182733,16.65054716694589,5.287381407385201,0.31755000928026755,126
12,bursty,queued_only,366,0.3743169398907104,5.870297243182733,15.181289477659652,2.956387731813756,0.19473890779596104,126
12,bursty,cooperative_1000ms,366,0.41530054644808745,5.860132903386301,14.56701392519185,1.377010425156905,0.09452935462466579,119
12,bursty,cooperative_250ms,366,0.43169398907103823,5.870407575117525,14.241855419817984,0.3834226115304473,0.026922237322877386,113
12,no_timeout_control,no_cancel,448,1,10.657467803265604,17.080654023392288,0,0,45
12,no_timeout_control,queued_only,448,1,10.657467803265604,17.080654023392288,0,0,45
12,no_timeout_control,cooperative_1000ms,448,1,10.657467803265604,17.080654023392288,0,0,45
12,no_timeout_control,cooperative_250ms,448,1,10.657467803265604,17.080654023392288,0,0,45
13,steady,no_cancel,412,0.5461165048543689,5.818987522144084,16.833870013514506,1.3572178584351184,0.08062423301032512,43
13,steady,queued_only,412,0.5461165048543689,5.818987522144084,16.833870013514506,1.3572178584351184,0.08062423301032512,43
13,steady,cooperative_1000ms,412,0.5825242718446602,5.812057932544647,16.309681313864697,0.4538713265686417,0.027828338140660682,39
13,steady,cooperative_250ms,412,0.5946601941747572,5.804079939343126,16.07434305173603,0.13207067510723222,0.008216240917725628,38
13,bursty,no_cancel,401,0.4139650872817955,5.858671128142362,16.803098263547625,4.0996669521487465,0.24398279935328945,98
13,bursty,queued_only,401,0.43640897755610975,5.8878080584404415,16.147866507635744,2.93738022314707,0.18190515891112236,98
13,bursty,cooperative_1000ms,401,0.46633416458852867,5.835235492170142,15.299669344229688,1.131012139113756,0.07392395964036441,86
13,bursty,cooperative_250ms,401,0.48129675810473815,5.835235492170142,14.9756281968866,0.2903540842837092,0.019388441036755518,78
13,no_timeout_control,no_cancel,407,1,10.551679157944633,16.979615116535662,0,0,45
13,no_timeout_control,queued_only,407,1,10.551679157944633,16.979615116535662,0,0,45
13,no_timeout_control,cooperative_1000ms,407,1,10.551679157944633,16.979615116535662,0,0,45
13,no_timeout_control,cooperative_250ms,407,1,10.551679157944633,16.979615116535662,0,0,45
14,steady,no_cancel,467,0.44967880085653106,5.858131760394031,16.8509272423929,3.0833540285184107,0.1829783004914667,87
14,steady,queued_only,467,0.4668094218415418,5.884812611983392,16.62305242921801,2.2060902144033117,0.13271270266378457,77
14,steady,cooperative_1000ms,467,0.5374732334047109,5.82027868229585,16.04785630215142,0.6210506010427641,0.03869991040233233,60
14,steady,cooperative_250ms,467,0.5481798715203426,5.796723057189816,15.789005821057907,0.1666005636607713,0.010551681692242774,57
14,bursty,no_cancel,384,0.3671875,5.869442476594344,16.724452175375642,5.717853899025942,0.3418858710029774,118
14,bursty,queued_only,384,0.40625,5.88240548302457,15.414593116834858,3.1778352121227638,0.2061575799008363,92
14,bursty,cooperative_1000ms,384,0.4322916666666667,5.869442476594344,14.633752936199455,1.336546573627156,0.09133313781189693,89
14,bursty,cooperative_250ms,384,0.4453125,5.828823234003846,14.322530425703745,0.357709016660904,0.02497526666230334,88
