dataset,query_id,method,ndcg10,recall100,mrr
scifact,808,unigram_bm25,1.0,1.0,1.0
scifact,811,unigram_bm25,1.0,1.0,1.0
scifact,814,unigram_bm25,1.0,1.0,1.0
scifact,820,unigram_bm25,0.0,1.0,0.05
scifact,821,unigram_bm25,0.0,1.0,0.05555555555555555
scifact,823,unigram_bm25,1.0,1.0,1.0
scifact,830,unigram_bm25,0.38685280723454163,1.0,0.2
scifact,831,unigram_bm25,0.0,1.0,0.08333333333333333
scifact,832,unigram_bm25,1.0,1.0,1.0
scifact,834,unigram_bm25,0.0,1.0,0.03571428571428571
scifact,837,unigram_bm25,1.0,1.0,1.0
scifact,839,unigram_bm25,1.0,1.0,1.0
scifact,845,unigram_bm25,1.0,1.0,1.0
scifact,847,unigram_bm25,1.0,1.0,1.0
scifact,852,unigram_bm25,1.0,1.0,1.0
scifact,859,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,870,unigram_bm25,0.0,0.0,0.0
scifact,873,unigram_bm25,0.0,0.8,0.058823529411764705
scifact,879,unigram_bm25,1.0,1.0,1.0
scifact,880,unigram_bm25,1.0,1.0,1.0
scifact,882,unigram_bm25,1.0,1.0,1.0
scifact,887,unigram_bm25,0.0,0.0,0.0010384215991692627
scifact,903,unigram_bm25,1.0,1.0,1.0
scifact,904,unigram_bm25,1.0,1.0,1.0
scifact,907,unigram_bm25,1.0,1.0,1.0
scifact,911,unigram_bm25,1.0,1.0,1.0
scifact,913,unigram_bm25,0.0,0.0,0.0011160714285714285
scifact,914,unigram_bm25,0.0,0.0,0.0
scifact,921,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,922,unigram_bm25,1.0,1.0,1.0
scifact,936,unigram_bm25,1.0,1.0,1.0
scifact,956,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,957,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,960,unigram_bm25,1.0,1.0,1.0
scifact,967,unigram_bm25,0.9197207891481876,1.0,1.0
scifact,971,unigram_bm25,0.6444638628256741,1.0,0.3333333333333333
scifact,975,unigram_bm25,0.0,0.0,0.0017064846416382253
scifact,982,unigram_bm25,1.0,1.0,1.0
scifact,985,unigram_bm25,1.0,1.0,1.0
scifact,993,unigram_bm25,1.0,1.0,1.0
scifact,1012,unigram_bm25,1.0,1.0,1.0
scifact,1014,unigram_bm25,1.0,1.0,1.0
scifact,1019,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,1020,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,1021,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,1024,unigram_bm25,1.0,1.0,1.0
scifact,1029,unigram_bm25,0.9066276098484507,1.0,1.0
scifact,1041,unigram_bm25,0.44130740935663865,1.0,0.25
scifact,1049,unigram_bm25,0.0,0.0,0.004629629629629629
scifact,1062,unigram_bm25,1.0,1.0,1.0
scifact,1086,unigram_bm25,1.0,1.0,1.0
scifact,1088,unigram_bm25,0.0,0.0,0.005154639175257732
scifact,1089,unigram_bm25,1.0,1.0,1.0
scifact,1099,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,1100,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,1104,unigram_bm25,1.0,1.0,1.0
scifact,1107,unigram_bm25,1.0,1.0,1.0
scifact,1110,unigram_bm25,0.0,0.0,0.0
scifact,1121,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,1130,unigram_bm25,1.0,1.0,1.0
scifact,1132,unigram_bm25,0.21840743681816419,1.0,0.16666666666666666
scifact,1137,unigram_bm25,1.0,1.0,1.0
scifact,1140,unigram_bm25,0.31546487678572877,1.0,0.125
scifact,1144,unigram_bm25,1.0,1.0,1.0
scifact,1146,unigram_bm25,1.0,1.0,1.0
scifact,1150,unigram_bm25,1.0,1.0,1.0
scifact,1163,unigram_bm25,1.0,1.0,1.0
scifact,1175,unigram_bm25,0.0,1.0,0.01818181818181818
scifact,1179,unigram_bm25,0.2890648263178879,1.0,0.1
scifact,1180,unigram_bm25,0.38685280723454163,1.0,0.2
scifact,1185,unigram_bm25,1.0,1.0,1.0
scifact,1187,unigram_bm25,1.0,1.0,1.0
scifact,1191,unigram_bm25,0.0,0.0,0.0021321961620469083
scifact,1194,unigram_bm25,1.0,1.0,1.0
scifact,1196,unigram_bm25,0.0,0.0,0.009615384615384616
scifact,1197,unigram_bm25,0.0,0.0,0.007194244604316547
scifact,1199,unigram_bm25,0.0,0.0,0.0
scifact,1200,unigram_bm25,0.0,1.0,0.014492753623188406
scifact,1202,unigram_bm25,1.0,1.0,1.0
scifact,1204,unigram_bm25,1.0,1.0,1.0
scifact,1207,unigram_bm25,1.0,1.0,1.0
scifact,1213,unigram_bm25,0.0,0.0,0.0012953367875647669
scifact,1216,unigram_bm25,1.0,1.0,1.0
scifact,1221,unigram_bm25,0.0,0.0,0.009259259259259259
scifact,1225,unigram_bm25,1.0,1.0,1.0
scifact,1226,unigram_bm25,0.0,1.0,0.012195121951219513
scifact,1232,unigram_bm25,1.0,1.0,1.0
scifact,1241,unigram_bm25,0.0,0.0,0.005917159763313609
scifact,1245,unigram_bm25,0.2890648263178879,1.0,0.1
scifact,1259,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,1262,unigram_bm25,1.0,1.0,1.0
scifact,1266,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,1270,unigram_bm25,1.0,1.0,1.0
scifact,1271,unigram_bm25,1.0,1.0,1.0
scifact,1272,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,1273,unigram_bm25,1.0,1.0,1.0
scifact,1274,unigram_bm25,0.6653497124326151,1.0,0.5
scifact,1278,unigram_bm25,0.0,0.0,0.0010822510822510823
scifact,1279,unigram_bm25,0.0,0.0,0.001718213058419244
scifact,1280,unigram_bm25,0.0,1.0,0.03571428571428571
scifact,1281,unigram_bm25,0.0,0.0,0.0
scifact,1282,unigram_bm25,1.0,1.0,1.0
scifact,1290,unigram_bm25,1.0,1.0,1.0
scifact,1292,unigram_bm25,1.0,1.0,1.0
scifact,1298,unigram_bm25,1.0,1.0,1.0
scifact,1303,unigram_bm25,1.0,1.0,1.0
scifact,1316,unigram_bm25,0.0,1.0,0.038461538461538464
scifact,1319,unigram_bm25,0.38685280723454163,1.0,0.2
scifact,1320,unigram_bm25,1.0,1.0,1.0
scifact,1332,unigram_bm25,0.0,0.0,0.004878048780487805
scifact,1335,unigram_bm25,1.0,1.0,1.0
scifact,1336,unigram_bm25,1.0,1.0,1.0
scifact,1337,unigram_bm25,1.0,1.0,1.0
scifact,1339,unigram_bm25,1.0,1.0,1.0
scifact,1344,unigram_bm25,1.0,1.0,1.0
scifact,1352,unigram_bm25,1.0,1.0,1.0
scifact,1359,unigram_bm25,1.0,1.0,1.0
scifact,1362,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,1363,unigram_bm25,1.0,1.0,1.0
scifact,1368,unigram_bm25,0.0,1.0,0.05555555555555555
scifact,1370,unigram_bm25,0.38685280723454163,1.0,0.2
scifact,1379,unigram_bm25,0.3973220069685352,1.0,0.5
scifact,1382,unigram_bm25,0.0,1.0,0.07142857142857142
scifact,1385,unigram_bm25,1.0,1.0,1.0
scifact,1389,unigram_bm25,1.0,1.0,1.0
scifact,1395,unigram_bm25,0.0,1.0,0.047619047619047616
scifact,1,bigram_bm25,0.0,0.0,0.0
scifact,3,bigram_bm25,0.5,1.0,0.3333333333333333
scifact,5,bigram_bm25,1.0,1.0,1.0
scifact,13,bigram_bm25,0.0,0.0,0.002840909090909091
scifact,36,bigram_bm25,0.0,1.0,0.045454545454545456
scifact,42,bigram_bm25,1.0,1.0,1.0
scifact,48,bigram_bm25,0.0,1.0,0.014084507042253521
scifact,49,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,50,bigram_bm25,0.0,0.0,0.005917159763313609
scifact,51,bigram_bm25,0.0,0.0,0.00273224043715847
scifact,53,bigram_bm25,0.0,1.0,0.021739130434782608
scifact,54,bigram_bm25,0.0,1.0,0.0625
scifact,56,bigram_bm25,1.0,1.0,1.0
scifact,57,bigram_bm25,1.0,1.0,1.0
scifact,70,bigram_bm25,0.6131471927654584,0.5,1.0
scifact,72,bigram_bm25,0.0,0.0,0.0
scifact,75,bigram_bm25,0.0,1.0,0.05
scifact,94,bigram_bm25,0.0,1.0,0.07692307692307693
scifact,99,bigram_bm25,0.0,0.0,0.0
scifact,100,bigram_bm25,1.0,1.0,1.0
scifact,113,bigram_bm25,0.5,1.0,0.3333333333333333
scifact,115,bigram_bm25,0.0,0.0,0.0
scifact,118,bigram_bm25,1.0,1.0,1.0
scifact,124,bigram_bm25,1.0,1.0,1.0
scifact,127,bigram_bm25,0.0,0.0,0.0
scifact,128,bigram_bm25,0.0,0.0,0.0
scifact,129,bigram_bm25,1.0,1.0,1.0
scifact,130,bigram_bm25,1.0,1.0,1.0
scifact,132,bigram_bm25,0.0,0.0,0.008547008547008548
scifact,133,bigram_bm25,0.0,0.4,0.038461538461538464
scifact,137,bigram_bm25,1.0,1.0,1.0
scifact,141,bigram_bm25,0.2640681225725909,0.5,0.25
scifact,142,bigram_bm25,1.0,1.0,1.0
scifact,143,bigram_bm25,1.0,1.0,1.0
scifact,146,bigram_bm25,1.0,1.0,1.0
scifact,148,bigram_bm25,1.0,1.0,1.0
scifact,163,bigram_bm25,1.0,1.0,1.0
scifact,171,bigram_bm25,0.31546487678572877,1.0,0.125
scifact,179,bigram_bm25,0.33424620450682646,1.0,0.3333333333333333
scifact,180,bigram_bm25,1.0,1.0,1.0
scifact,183,bigram_bm25,0.0,1.0,0.010101010101010102
scifact,185,bigram_bm25,0.0,1.0,0.017241379310344827
scifact,198,bigram_bm25,0.0,0.0,0.0
scifact,208,bigram_bm25,0.0,1.0,0.014084507042253521
scifact,212,bigram_bm25,0.5,1.0,0.3333333333333333
scifact,213,bigram_bm25,0.5,1.0,0.3333333333333333
scifact,216,bigram_bm25,0.0,0.0,0.009259259259259259
scifact,217,bigram_bm25,0.0,0.0,0.008928571428571428
scifact,218,bigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,219,bigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,230,bigram_bm25,0.0,1.0,0.05555555555555555
scifact,232,bigram_bm25,1.0,1.0,1.0
scifact,233,bigram_bm25,1.0,1.0,1.0
scifact,236,bigram_bm25,1.0,1.0,1.0
scifact,237,bigram_bm25,1.0,1.0,1.0
scifact,238,bigram_bm25,0.0,0.0,0.0
scifact,239,bigram_bm25,0.0,0.0,0.0
scifact,248,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,249,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,261,bigram_bm25,0.0,0.0,0.0
scifact,268,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,269,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,274,bigram_bm25,1.0,1.0,1.0
scifact,275,bigram_bm25,0.23463936301137822,1.0,0.3333333333333333
scifact,279,bigram_bm25,1.0,1.0,1.0
scifact,294,bigram_bm25,1.0,1.0,1.0
scifact,295,bigram_bm25,1.0,1.0,1.0
scifact,298,bigram_bm25,1.0,1.0,1.0
scifact,300,bigram_bm25,0.0,1.0,0.041666666666666664
scifact,303,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,312,bigram_bm25,0.5,1.0,0.3333333333333333
scifact,314,bigram_bm25,0.43067655807339306,1.0,0.25
scifact,324,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,327,bigram_bm25,1.0,1.0,1.0
scifact,338,bigram_bm25,1.0,1.0,1.0
scifact,343,bigram_bm25,0.19342640361727081,1.0,0.125
scifact,350,bigram_bm25,0.0,1.0,0.038461538461538464
scifact,354,bigram_bm25,1.0,1.0,1.0
scifact,362,bigram_bm25,1.0,1.0,1.0
scifact,380,bigram_bm25,1.0,1.0,1.0
scifact,384,bigram_bm25,0.0,1.0,0.010752688172043012
scifact,385,bigram_bm25,0.0,0.0,0.0011363636363636363
scifact,386,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,388,bigram_bm25,0.0,0.0,0.0
scifact,399,bigram_bm25,1.0,1.0,1.0
scifact,410,bigram_bm25,1.0,1.0,1.0
scifact,411,bigram_bm25,1.0,1.0,1.0
scifact,415,bigram_bm25,0.0,1.0,0.029411764705882353
scifact,421,bigram_bm25,0.43067655807339306,1.0,0.25
scifact,431,bigram_bm25,0.0,0.0,0.0
scifact,436,bigram_bm25,1.0,1.0,1.0
scifact,437,bigram_bm25,0.0,0.0,0.0
scifact,439,bigram_bm25,0.0,0.0,0.0011750881316098707
scifact,440,bigram_bm25,0.0,0.0,0.0011750881316098707
scifact,443,bigram_bm25,1.0,1.0,1.0
scifact,452,bigram_bm25,0.6131471927654584,1.0,1.0
scifact,475,bigram_bm25,0.0,0.0,0.0
scifact,478,bigram_bm25,1.0,1.0,1.0
scifact,491,bigram_bm25,0.0,0.0,0.0
scifact,501,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,502,bigram_bm25,0.0,0.0,0.0
scifact,507,bigram_bm25,1.0,1.0,1.0
scifact,508,bigram_bm25,0.0,1.0,0.047619047619047616
scifact,513,bigram_bm25,0.0,0.0,0.0
scifact,514,bigram_bm25,0.0,1.0,0.015625
scifact,516,bigram_bm25,1.0,1.0,1.0
scifact,517,bigram_bm25,0.0,1.0,0.014492753623188406
scifact,521,bigram_bm25,1.0,1.0,1.0
scifact,525,bigram_bm25,1.0,1.0,1.0
scifact,527,bigram_bm25,1.0,1.0,1.0
scifact,528,bigram_bm25,1.0,1.0,1.0
scifact,532,bigram_bm25,1.0,1.0,1.0
scifact,533,bigram_bm25,1.0,1.0,1.0
scifact,535,bigram_bm25,0.0,0.0,0.0
scifact,536,bigram_bm25,0.0,1.0,0.038461538461538464
scifact,539,bigram_bm25,0.43067655807339306,1.0,0.25
scifact,540,bigram_bm25,0.0,0.0,0.0
scifact,544,bigram_bm25,0.0,0.0,0.0
scifact,549,bigram_bm25,1.0,1.0,1.0
scifact,551,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,552,bigram_bm25,1.0,1.0,1.0
scifact,554,bigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,560,bigram_bm25,0.0,0.0,0.0011235955056179776
scifact,569,bigram_bm25,1.0,1.0,1.0
scifact,575,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,577,bigram_bm25,0.0,0.0,0.0
scifact,578,bigram_bm25,1.0,1.0,1.0
scifact,587,bigram_bm25,0.0,0.0,0.004405286343612335
scifact,589,bigram_bm25,1.0,1.0,1.0
scifact,593,bigram_bm25,1.0,1.0,1.0
scifact,597,bigram_bm25,0.36926780146674987,1.0,0.25
scifact,598,bigram_bm25,0.0,1.0,0.03125
scifact,613,bigram_bm25,1.0,1.0,1.0
scifact,619,bigram_bm25,0.0,0.5,0.08333333333333333
scifact,623,bigram_bm25,0.5,1.0,0.3333333333333333
scifact,628,bigram_bm25,0.0,1.0,0.03225806451612903
scifact,636,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,637,bigram_bm25,0.0,1.0,0.017543859649122806
scifact,641,bigram_bm25,0.3065735963827292,0.5,0.3333333333333333
scifact,644,bigram_bm25,1.0,1.0,1.0
scifact,649,bigram_bm25,0.0,0.0,0.0
scifact,659,bigram_bm25,0.0,1.0,0.07692307692307693
scifact,660,bigram_bm25,0.0,0.0,0.0
scifact,674,bigram_bm25,1.0,1.0,1.0
scifact,684,bigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,690,bigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,691,bigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,692,bigram_bm25,1.0,1.0,1.0
scifact,693,bigram_bm25,1.0,1.0,1.0
scifact,700,bigram_bm25,0.0,1.0,0.03225806451612903
scifact,702,bigram_bm25,0.0,0.0,0.0
scifact,715,bigram_bm25,0.0,1.0,0.019230769230769232
scifact,716,bigram_bm25,0.0,0.0,0.0018975332068311196
scifact,718,bigram_bm25,0.0,0.0,0.0
scifact,721,bigram_bm25,1.0,1.0,1.0
scifact,723,bigram_bm25,1.0,1.0,1.0
scifact,727,bigram_bm25,0.0,0.0,0.0
scifact,728,bigram_bm25,0.0,0.0,0.0
scifact,729,bigram_bm25,0.0,1.0,0.058823529411764705
scifact,742,bigram_bm25,0.38685280723454163,1.0,0.2
scifact,743,bigram_bm25,1.0,1.0,1.0
scifact,744,bigram_bm25,0.5,1.0,0.3333333333333333
scifact,756,bigram_bm25,0.0,0.0,0.0
scifact,759,bigram_bm25,0.38685280723454163,1.0,0.2
scifact,768,bigram_bm25,0.0,0.0,0.0
scifact,770,bigram_bm25,1.0,1.0,1.0
scifact,775,bigram_bm25,0.0,0.0,0.0
scifact,781,bigram_bm25,0.3010299956639812,1.0,0.1111111111111111
scifact,783,bigram_bm25,0.0,0.0,0.0
scifact,784,bigram_bm25,0.5,1.0,0.3333333333333333
scifact,785,bigram_bm25,0.0,1.0,0.013888888888888888
scifact,793,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,800,bigram_bm25,0.0,0.0,0.008928571428571428
scifact,805,bigram_bm25,1.0,1.0,1.0
scifact,808,bigram_bm25,0.6309297535714575,1.0,0.5
scifact,811,bigram_bm25,1.0,1.0,1.0
scifact,814,bigram_bm25,0.5,1.0,0.3333333333333333
scifact,820,bigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,821,bigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,823,bigram_bm25,0.0,1.0,0.01098901098901099
scifact,830,bigram_bm25,0.0,0.0,0.0
scifact,831,bigram_bm25,0.0,0.0,0.0
scifact,832,bigram_bm25,0.5,1.0,0.3333333333333333
scifact,834,bigram_bm25,0.0,0.0,0.0
