load_per_second,fault_shape,policy,repeat,requests,success_rate,attempt_amplification,p95_latency_seconds,peak_attempts_per_second,overload_failures,fault_failures,retries_denied,bad_tick_fraction
60,independent,budgeted_full_jitter,19,17952,0.999777183600713,1.054311497326203,0.1,97,310,669,0,1.0
60,independent,no_retry,20,17919,0.95368045091802,1.0,0.0,82,204,626,0,1.0
60,independent,immediate_three,20,17919,0.9998325799430772,1.0576483062670907,0.1,101,336,700,0,1.0
60,independent,exponential_no_jitter,20,17919,0.9997767732574362,1.0531837714158157,0.5,90,287,670,0,1.0
60,independent,exponential_full_jitter,20,17919,1.0,1.0559182990122216,0.1,93,302,700,0,1.0
60,independent,budgeted_full_jitter,20,17919,0.9998883866287182,1.0516211842178693,0.0,95,292,635,0,1.0
60,independent,no_retry,21,17881,0.9498350204127286,1.0,0.0,83,265,632,0,1.0
60,independent,immediate_three,21,17881,0.9996644482970751,1.0601196801073764,0.1,97,417,664,0,1.0
60,independent,exponential_no_jitter,21,17881,0.9995525977294335,1.061517812202897,0.5,94,415,693,0,1.0
60,independent,exponential_full_jitter,21,17881,0.9999440747161792,1.0583300710251105,0.1,100,374,670,0,1.0
60,independent,budgeted_full_jitter,21,17881,0.9999440747161792,1.057882668754544,0.1,94,357,679,0,1.0
60,independent,no_retry,22,17732,0.9518948793142341,1.0,0.0,83,182,671,0,1.0
60,independent,immediate_three,22,17732,0.9997180239115723,1.0527859237536656,0.0,95,283,658,0,1.0
60,independent,exponential_no_jitter,22,17732,0.999887209564629,1.0521655763591247,0.2749999999996362,89,280,647,0,1.0
60,independent,exponential_full_jitter,22,17732,0.999887209564629,1.052391157229867,0.0,90,273,658,0,1.0
60,independent,budgeted_full_jitter,22,17732,1.0,1.0547597563726596,0.1,91,271,700,0,1.0
60,independent,no_retry,23,18031,0.9536908657312406,1.0,0.0,88,253,582,0,1.0
60,independent,immediate_three,23,18031,0.9996672397537574,1.0588431035438965,0.1,111,402,665,0,1.0
60,independent,exponential_no_jitter,23,18031,0.9997226997947979,1.0547945205479452,0.5,95,380,613,0,1.0
60,independent,exponential_full_jitter,23,18031,0.9999445399589596,1.057345682435805,0.1,94,364,671,0,1.0
60,independent,budgeted_full_jitter,23,18031,0.9997226997947979,1.057345682435805,0.1,102,349,690,3,1.0
60,independent,no_retry,24,18060,0.9523255813953488,1.0,0.0,84,231,630,0,1.0
60,independent,immediate_three,24,18060,0.9997785160575858,1.0569767441860465,0.1,101,351,682,0,1.0
60,independent,exponential_no_jitter,24,18060,0.9997231450719822,1.0571428571428572,0.5,95,384,653,0,1.0
60,independent,exponential_full_jitter,24,18060,0.9998892580287929,1.0548726467331118,0.1,94,331,662,0,1.0
60,independent,budgeted_full_jitter,24,18060,0.9998338870431893,1.0543189368770765,0.1,92,331,653,0,1.0
60,independent,no_retry,25,17916,0.951551685644117,1.0,0.0,87,212,656,0,1.0
60,independent,immediate_three,25,17916,0.9997767358785443,1.0539182853315472,0.1,102,326,644,0,1.0
60,independent,exponential_no_jitter,25,17916,0.9998883679392722,1.0552578700602813,0.5,96,317,675,0,1.0
60,independent,exponential_full_jitter,25,17916,0.9998883679392722,1.0539182853315472,0.1,100,313,655,0,1.0
60,independent,budgeted_full_jitter,25,17916,0.9998325519089082,1.0537508372404554,0.1,105,308,658,1,1.0
60,independent,no_retry,26,17952,0.9507575757575758,1.0,0.0,86,215,669,0,1.0
60,independent,immediate_three,26,17952,0.9997214795008913,1.0573752228163993,0.1,108,345,690,0,1.0
60,independent,exponential_no_jitter,26,17952,0.999777183600713,1.0563168449197862,0.5,94,364,651,0,1.0
60,independent,exponential_full_jitter,26,17952,0.9999442959001783,1.0537544563279857,0.1,104,306,660,0,1.0
60,independent,budgeted_full_jitter,26,17952,0.9998885918003565,1.0540329768270944,0.1,96,298,674,0,1.0
60,independent,no_retry,27,18142,0.951273288501819,1.0,0.0,87,238,646,0,1.0
60,independent,immediate_three,27,18142,0.9997795171425422,1.0569396979384853,0.1,104,366,671,0,1.0
60,independent,exponential_no_jitter,27,18142,0.9998346378569066,1.053301730790431,0.0,96,350,620,0,1.0
60,independent,exponential_full_jitter,27,18142,0.9999448792856356,1.0570499393672141,0.1,98,343,693,0,1.0
60,independent,budgeted_full_jitter,27,18142,0.9997795171425422,1.0573806636534009,0.1,99,331,714,0,1.0
60,independent,no_retry,28,17777,0.95387298194296,1.0,0.0,83,206,614,0,1.0
60,independent,immediate_three,28,17777,0.9997749901558193,1.0559149462788997,0.1,97,340,658,0,1.0
60,independent,exponential_no_jitter,28,17777,1.0,1.052708555999325,0.5,92,307,630,0,1.0
60,independent,exponential_full_jitter,28,17777,0.9998874950779096,1.0540023626033639,0.1,97,304,658,0,1.0
60,independent,budgeted_full_jitter,28,17777,0.9997749901558193,1.0527648084603702,0.1,97,306,636,0,1.0
60,independent,no_retry,29,18195,0.9510854630392965,1.0,0.0,88,248,642,0,1.0
60,independent,immediate_three,29,18195,0.9997251992305578,1.0593569661995053,0.1,109,401,684,0,1.0
60,independent,exponential_no_jitter,29,18195,0.9997801593844463,1.0580379225061831,0.5,97,418,642,0,1.0
60,independent,exponential_full_jitter,29,18195,0.9998900796922231,1.0560043968123112,0.1,102,365,656,0,1.0
60,independent,budgeted_full_jitter,29,18195,0.9997251992305578,1.0558944765045342,0.1,104,348,674,2,1.0
60,independent,no_retry,30,18050,0.9561772853185596,1.0,0.0,85,210,581,0,1.0
60,independent,immediate_three,30,18050,0.9996675900277008,1.0521883656509696,0.0,93,322,626,0,1.0
60,independent,exponential_no_jitter,30,18050,0.999612188365651,1.054792243767313,0.5,91,317,679,0,1.0
60,independent,exponential_full_jitter,30,18050,0.9998891966759003,1.052797783933518,0.0,92,298,657,0,1.0
60,independent,budgeted_full_jitter,30,18050,0.9997229916897507,1.0583379501385042,0.1,94,320,738,0,1.0
60,independent,no_retry,31,18190,0.9496426608026388,1.0,0.0,88,259,657,0,1.0
60,independent,immediate_three,31,18190,0.999450247388675,1.0582737768004398,0.1,112,382,688,0,1.0
60,independent,exponential_no_jitter,31,18190,0.9998350742166026,1.05717427157779,0.5,95,403,640,0,1.0
