model,pattern,rate,repeat,policy,throughput_rps,drop_rate,p50_ms,p95_ms,p99_ms,slo_attainment,mean_batch_size
batch-efficient,poisson,90,3,b4-now,89.5,0,6.690826996113174,12.633226509460656,13.396026659451309,1,1.1488411652136934
batch-efficient,poisson,90,3,b4-2ms,89.5,0,8.400000000001455,12.631607898338189,13.670385781546429,1,1.2562194838409673
batch-efficient,poisson,90,3,b8-2ms,89.5,0,8.400000000001455,12.61789246796252,13.645651072991313,1,1.2565116279069768
batch-efficient,poisson,90,3,b8-5ms,89.5,0,11.400000000001455,12.758632319717435,13.681735108693829,1,1.3957633686385946
batch-efficient,poisson,90,3,b16-5ms,89.5,0,11.400000000001455,12.758632319717435,13.681735108693829,1,1.3957633686385946
batch-efficient,poisson,90,3,b16-10ms,89.5,0,12.883602051551861,17.48504251527629,17.941887789405882,1,1.6507791017415216
batch-efficient,poisson,90,4,single,90.44,0,8.198789939320704,22.128217900193704,29.80661980963123,0.9734630694383016,1
batch-efficient,poisson,90,4,b4-now,90.44,0,6.765740343798825,12.556694112274272,13.337550615709915,1,1.143187552565181
batch-efficient,poisson,90,4,b4-2ms,90.44,0,8.400000000001455,12.5660303516961,13.528614036660656,1,1.2521879318286504
batch-efficient,poisson,90,4,b8-2ms,90.44,0,8.400000000001455,12.558883573270577,13.51159832594567,1,1.2524763879290486
batch-efficient,poisson,90,4,b8-5ms,90.44,0,11.400000000001455,12.611900080133637,13.542766920872964,1,1.4030967741935483
batch-efficient,poisson,90,4,b16-5ms,90.44,0,11.400000000001455,12.611900080133637,13.542766920872964,1,1.4030967741935483
batch-efficient,poisson,90,4,b16-10ms,90.44,0,13.005062366290076,17.48504251527629,17.941887789405882,1,1.6596459096459097
batch-efficient,poisson,90,5,single,90.82,0,8.46225364766724,24.233575775626377,32.49211681707675,0.9546355428319754,1
batch-efficient,poisson,90,5,b4-now,90.82,0,6.8693022311490495,12.622383494612222,13.426249973890663,1,1.1517632241813602
batch-efficient,poisson,90,5,b4-2ms,90.82,0,8.400000000001455,12.591178350223345,13.396942312974716,1,1.2501708817498292
batch-efficient,poisson,90,5,b8-2ms,90.82,0,8.400000000001455,12.585903963292367,13.36937463387585,1,1.2510259917920656
batch-efficient,poisson,90,5,b8-5ms,90.82,0,11.400000000001455,12.638021774771914,13.667354869372502,1,1.4076449461262186
batch-efficient,poisson,90,5,b16-5ms,90.82,0,11.400000000001455,12.638021774771914,13.667354869372502,1,1.4076449461262186
batch-efficient,poisson,90,5,b16-10ms,90.82,0,12.843894044890476,17.48504251527629,17.941887789405882,1,1.6344950848972297
batch-efficient,poisson,90,6,single,90.1,0,8.153540274553961,23.994649877211486,34.28148381218489,0.9562708102108768,1
batch-efficient,poisson,90,6,b4-now,90.1,0,6.6680162929260405,12.610609780851519,13.34497411268967,1,1.1494496189669772
batch-efficient,poisson,90,6,b4-2ms,90.1,0,8.400000000001455,12.57115498733765,13.376670723730058,1,1.2485628880202346
batch-efficient,poisson,90,6,b8-2ms,90.1,0,8.400000000001455,12.570715371721235,13.374469895716175,1,1.24885004599816
batch-efficient,poisson,90,6,b8-5ms,90.1,0,11.400000000001455,12.641985754104098,13.490482896517278,1,1.4067357512953367
batch-efficient,poisson,90,6,b16-5ms,90.1,0,11.400000000001455,12.641985754104098,13.490482896517278,1,1.4067357512953367
batch-efficient,poisson,90,6,b16-10ms,90.1,0,12.996781815596478,17.48504251527629,17.941887789405882,1,1.6585216860109957
batch-efficient,poisson,90,7,single,90.04,0,8.382671633720747,24.478955630591372,36.563276021139245,0.9542425588627277,1
batch-efficient,poisson,90,7,b4-now,90.04,0,6.608061056875158,12.622381461362238,13.377461521096848,1,1.145072217502124
batch-efficient,poisson,90,7,b4-2ms,90.04,0,8.400000000001455,12.56227279984887,13.396119207027368,1,1.2450346420323326
batch-efficient,poisson,90,7,b8-2ms,90.04,0,8.400000000001455,12.56227279984887,13.396119207027368,1,1.2450346420323326
batch-efficient,poisson,90,7,b8-5ms,90.04,0,11.400000000001455,12.628269567881944,13.411584711024261,1,1.40390625
batch-efficient,poisson,90,7,b16-5ms,90.04,0,11.400000000001455,12.628269567881944,13.411584711024261,1,1.40390625
batch-efficient,poisson,90,7,b16-10ms,90.04,0,12.854217169835465,17.48504251527629,17.941887789405882,1,1.6420956442278405
batch-efficient,poisson,90,8,single,88.86,0,7.899794442215352,23.34847116601304,39.30597569685051,0.95836146747693,1
batch-efficient,poisson,90,8,b4-now,88.86,0,6.400000000001455,12.527321964644216,13.377320986339328,1,1.1390953493310683
batch-efficient,poisson,90,8,b4-2ms,88.86,0,8.400000000001455,12.497236361305113,13.38499760623381,1,1.2468619246861925
batch-efficient,poisson,90,8,b8-2ms,88.86,0,8.400000000001455,12.488264823812642,13.381068683418562,1,1.2471518251569402
batch-efficient,poisson,90,8,b8-5ms,88.86,0,11.400000000001455,12.689450958023372,13.55863572571252,1,1.3921619517259278
batch-efficient,poisson,90,8,b16-5ms,88.86,0,11.400000000001455,12.689450958023372,13.55863572571252,1,1.3921619517259278
batch-efficient,poisson,90,8,b16-10ms,88.86,0,13.132566818749183,17.48504251527629,17.941887789405882,1,1.643885994483604
batch-efficient,poisson,90,9,single,89.68,0,8.30394798510315,22.940398381433624,31.404366731119808,0.965878679750223,1
batch-efficient,poisson,90,9,b4-now,89.68,0,6.707903348222317,12.526936427319015,13.286746167388628,1,1.137441761965269
batch-efficient,poisson,90,9,b4-2ms,89.68,0,8.400000000001455,12.56911679332552,13.497598025249317,1,1.2412757106540329
batch-efficient,poisson,90,9,b8-2ms,89.68,0,8.400000000001455,12.55983659622143,13.49159023244465,1,1.2415626444752659
