repeat,condition,endpoint,deadline,successRate,completedOnlyP95,deadlineAwareP95,latentP95,restrictedMean,timeoutRate
2,no_tail_control,fast_spiky,8,1,1.2450106976207316,1.2450106976207316,1.2450106976207316,0.917086080240525,0
2,main,steady,16,1,2.4003976874978963,2.4003976874978963,2.4003976874978963,1.6482050099255567,0
2,main,fast_spiky,16,0.9916,8.570663204834425,9.664838598271158,9.664838598271158,1.6312599578917073,0.008399999999999963
2,no_tail_control,fast_spiky,16,1,1.2450106976207316,1.2450106976207316,1.2450106976207316,0.917086080240525,0
3,main,steady,2,0.8118,1.924378212713537,2,2.432506960857588,1.5936154858763498,0.18820000000000003
3,main,fast_spiky,2,0.9468,1.2599628157915228,2,7.685268165696291,0.9774455255372455,0.053200000000000025
3,no_tail_control,fast_spiky,2,1,1.2583162254729927,1.2583162254729927,1.2583162254729927,0.918877918566675,0
3,main,steady,4,1,2.432506960857588,2.432506960857588,2.432506960857588,1.652480674593741,0
3,main,fast_spiky,4,0.9468,1.2599628157915228,4,7.685268165696291,1.083845525537246,0.053200000000000025
3,no_tail_control,fast_spiky,4,1,1.2583162254729927,1.2583162254729927,1.2583162254729927,0.918877918566675,0
3,main,steady,8,1,2.432506960857588,2.432506960857588,2.432506960857588,1.652480674593741,0
3,main,fast_spiky,8,0.9506,1.2694290975253903,7.685268165696291,7.685268165696291,1.2934401418275143,0.0494
3,no_tail_control,fast_spiky,8,1,1.2583162254729927,1.2583162254729927,1.2583162254729927,0.918877918566675,0
3,main,steady,16,1,2.432506960857588,2.432506960857588,2.432506960857588,1.652480674593741,0
3,main,fast_spiky,16,0.9932,1.568319468242265,7.685268165696291,7.685268165696291,1.5163915454371948,0.006800000000000028
3,no_tail_control,fast_spiky,16,1,1.2583162254729927,1.2583162254729927,1.2583162254729927,0.918877918566675,0
4,main,steady,2,0.8166,1.932221530980069,2,2.375457513604058,1.592917414308327,0.1834
4,main,fast_spiky,2,0.9406,1.2325439554631252,2,9.39318039414462,0.9797722785832246,0.05940000000000001
4,no_tail_control,fast_spiky,2,1,1.234651354206932,1.234651354206932,1.234651354206932,0.9157410342615318,0
4,main,steady,4,1,2.375457513604058,2.375457513604058,2.375457513604058,1.6448654313216993,0
4,main,fast_spiky,4,0.9406,1.2325439554631252,4,9.39318039414462,1.0985722785832235,0.05940000000000001
4,no_tail_control,fast_spiky,4,1,1.234651354206932,1.234651354206932,1.234651354206932,0.9157410342615318,0
4,main,steady,8,1,2.375457513604058,2.375457513604058,2.375457513604058,1.6448654313216993,0
4,main,fast_spiky,8,0.9458,1.2458777327729047,8,9.39318039414462,1.3319192195528544,0.054200000000000026
4,no_tail_control,fast_spiky,8,1,1.234651354206932,1.234651354206932,1.234651354206932,0.9157410342615318,0
4,main,steady,16,1,2.375457513604058,2.375457513604058,2.375457513604058,1.6448654313216993,0
4,main,fast_spiky,16,0.9912,6.7380333802347545,9.39318039414462,9.39318039414462,1.591205086908277,0.00880000000000003
4,no_tail_control,fast_spiky,16,1,1.234651354206932,1.234651354206932,1.234651354206932,0.9157410342615318,0
5,main,steady,2,0.8136,1.9285686810279767,2,2.422325331305584,1.5896820379697003,0.1864
5,main,fast_spiky,2,0.9356,1.2558573135485203,2,10.211463968848335,0.9866269554469514,0.06440000000000001
5,no_tail_control,fast_spiky,2,1,1.2541009590308796,1.2541009590308796,1.2541009590308796,0.917099762299667,0
5,main,steady,4,0.9994,2.418174101905032,2.422325331305584,2.422325331305584,1.6485671974911624,0.0006000000000000449
5,main,fast_spiky,4,0.9356,1.2558573135485203,4,10.211463968848335,1.1154269554469511,0.06440000000000001
5,no_tail_control,fast_spiky,4,1,1.2541009590308796,1.2541009590308796,1.2541009590308796,0.917099762299667,0
5,main,steady,8,1,2.422325331305584,2.422325331305584,2.422325331305584,1.6487088365936797,0
5,main,fast_spiky,8,0.9384,1.2633212302196226,8,10.211463968848335,1.3718015505952945,0.06159999999999999
5,no_tail_control,fast_spiky,8,1,1.2541009590308796,1.2541009590308796,1.2541009590308796,0.917099762299667,0
5,main,steady,16,1,2.422325331305584,2.422325331305584,2.422325331305584,1.6487088365936797,0
5,main,fast_spiky,16,0.9944,9.316256607200309,10.211463968848335,10.211463968848335,1.646367891006762,0.005600000000000049
5,no_tail_control,fast_spiky,16,1,1.2541009590308796,1.2541009590308796,1.2541009590308796,0.917099762299667,0
6,main,steady,2,0.8194,1.9372530881009062,2,2.3991441841135006,1.594832859653836,0.18059999999999998
6,main,fast_spiky,2,0.94,1.2484448978473892,2,9.199247033277448,0.9843812359277863,0.06000000000000005
6,no_tail_control,fast_spiky,2,1,1.244490548265448,1.244490548265448,1.244490548265448,0.9185935519638547,0
6,main,steady,4,0.9998,2.3991441841135006,2.3991441841135006,2.3991441841135006,1.6516070265173675,0.00019999999999997797
6,main,fast_spiky,4,0.94,1.2484448978473892,4,9.199247033277448,1.1043812359277865,0.06000000000000005
6,no_tail_control,fast_spiky,4,1,1.244490548265448,1.244490548265448,1.244490548265448,0.9185935519638547,0
6,main,steady,8,1,2.3991441841135006,2.3991441841135006,2.3991441841135006,1.6516252801722804,0
6,main,fast_spiky,8,0.944,1.260783418110967,8,9.199247033277448,1.3413399971590216,0.05600000000000005
