scenario,repeat,policy,allCoverage,allMeanWidth,routineCoverage,routineMeanWidth,criticalCoverage,criticalMeanWidth,coverageGap,criticalCount
exchangeable_rare_noisy,19,oracle_normalized,0.903,1.8114282689641117,0.9028846153846154,1.656794148442789,0.9053571428571429,4.970382445329011,-0.0024725274725274637,560
exchangeable_rare_noisy,20,pooled,0.8985,1.762027575692611,0.924602826296849,1.76202757569261,0.4085667215815486,1.7620275756925077,0.5160361047153004,607
exchangeable_rare_noisy,20,pooled_95,0.9499166666666666,2.225085512021068,0.9734047221978408,2.225085512021024,0.5090609555189456,2.2250855120209923,0.4643437666788952,607
exchangeable_rare_noisy,20,mondrian,0.8985833333333333,1.7691176756912763,0.9001141051522865,1.615834260297252,0.8698517298187809,4.646148897410802,0.03026237533350562,607
exchangeable_rare_noisy,20,max_slice,0.9934166666666666,4.646148897409675,1,4.646148897409702,0.8698517298187809,4.646148897410802,0.1301482701812191,607
exchangeable_rare_noisy,20,oracle_normalized,0.8973333333333333,1.771561367557061,0.8980075484946897,1.6088040268417556,0.8846787479406919,4.826412080524725,0.013328800553997766,607
exchangeable_rare_noisy,21,pooled,0.8979166666666667,1.741957165673328,0.921340449733135,1.741957165673398,0.4290718038528897,1.7419571656736015,0.4922686458802453,571
exchangeable_rare_noisy,21,pooled_95,0.94775,2.1557386807510714,0.9692886516755622,2.1557386807510848,0.5166374781085814,2.155738680751489,0.4526511735669808,571
exchangeable_rare_noisy,21,mondrian,0.9001666666666667,1.79338934851322,0.8999037536092397,1.6313233453708886,0.9054290718038529,5.037263866755143,-0.005525318194613216,571
exchangeable_rare_noisy,21,max_slice,0.9955,5.037263866754452,1,5.037263866754471,0.9054290718038529,5.037263866755143,0.0945709281961471,571
exchangeable_rare_noisy,21,oracle_normalized,0.8998333333333334,1.7861592058154165,0.8999037536092397,1.630947380139036,0.8984238178633975,4.892842140417214,0.0014799357458421536,571
exchangeable_rare_noisy,22,pooled,0.8861666666666667,1.7131238952824843,0.9114725274725275,1.7131238952824845,0.4256,1.7131238952825825,0.4858725274725275,625
exchangeable_rare_noisy,22,pooled_95,0.9465833333333333,2.1531509673223486,0.9695824175824176,2.1531509673223517,0.528,2.1531509673225995,0.44158241758241756,625
exchangeable_rare_noisy,22,mondrian,0.889,1.778241890483628,0.8896703296703297,1.6069216428695652,0.8768,4.89627039705934,0.012870329670329639,625
exchangeable_rare_noisy,22,max_slice,0.9935833333333334,4.896270397060516,1,4.89627039706049,0.8768,4.89627039705934,0.12319999999999998,625
exchangeable_rare_noisy,22,oracle_normalized,0.889,1.7766689598786076,0.889934065934066,1.6090586806446032,0.872,4.827176041934455,0.01793406593406599,625
exchangeable_rare_noisy,23,pooled,0.9065833333333333,1.8219258875823052,0.9312275789657888,1.821925887582253,0.4133099824868651,1.8219258875822373,0.5179175964789237,571
exchangeable_rare_noisy,23,pooled_95,0.9525,2.239287607811998,0.9746259515268177,2.2392876078119976,0.5096322241681261,2.239287607811912,0.4649937273586916,571
exchangeable_rare_noisy,23,mondrian,0.9073333333333333,1.8622672096302015,0.9060285239303526,1.6778048046686076,0.9334500875656743,5.554422772337111,-0.027421563635321666,571
exchangeable_rare_noisy,23,max_slice,0.9968333333333333,5.554422772336842,1,5.554422772336721,0.9334500875656743,5.554422772337111,0.06654991243432573,571
exchangeable_rare_noisy,23,oracle_normalized,0.906,1.84211813586108,0.9069034911190831,1.6820436486326624,0.8879159369527145,5.046130945897861,0.018987554166368548,571
exchangeable_rare_noisy,24,pooled,0.8996666666666666,1.7558966082870084,0.9218366631615843,1.7558966082870087,0.46938775510204084,1.7558966082871104,0.45244890805954346,588
exchangeable_rare_noisy,24,pooled_95,0.9519166666666666,2.177144803670676,0.9722222222222222,2.177144803670676,0.5578231292517006,2.1771448036707577,0.4143990929705216,588
