scenario,repeat,policy,completionRate,p50Latency,p95Latency,p99Latency,workSecondsPerRequest,hedgeRate,hedgeWinRate,maxQueueDepth,canceledQueuedPerRequest
moderate_independent,18,queue_capped_250ms,1,0.19028566915440592,0.4287102648479255,0.5820942310176065,0.2448557791576984,0.281875,0.31042128603104213,2,0.280625
moderate_independent,19,no_hedge,1,0.18962495120685574,0.6486094384014223,3.196413595541017,0.2940885662106248,0,0,2,0
moderate_independent,19,fixed_250ms,1,0.1885693321599291,0.4128357881960625,0.5554806237922136,0.2343026234885548,0.26625,0.2605633802816901,2,0.26625
moderate_independent,19,fixed_500ms,1,0.18830659718557996,0.5672279038258701,0.740783685512028,0.23053796820136102,0.056875,0.7362637362637363,2,0.056875
moderate_independent,19,queue_capped_250ms,1,0.1885693321599291,0.4128357881960625,0.5554806237922136,0.2343026234885548,0.26625,0.2605633802816901,2,0.26625
moderate_independent,20,no_hedge,1,0.19047075182096762,1.0204507083883527,3.3599923866564474,0.300371879403359,0,0,2,0
moderate_independent,20,fixed_250ms,1,0.18721113567798398,0.4137945061031445,0.5584322237288006,0.23347223069568948,0.253125,0.2814814814814815,2,0.253125
moderate_independent,20,fixed_500ms,1,0.1871506817397588,0.5814548505881447,0.7836229596241395,0.23087464615625808,0.055625,0.7865168539325843,2,0.055625
moderate_independent,20,queue_capped_250ms,1,0.18721113567798398,0.4137945061031445,0.5584322237288006,0.23347223069568948,0.253125,0.2814814814814815,2,0.253125
moderate_independent,21,no_hedge,1,0.1932773797573759,1.5736648724092532,3.3808993591246974,0.31704789139401734,0,0,2,0
moderate_independent,21,fixed_250ms,1,0.19102767678211308,0.41288573077684987,0.5636745494400017,0.23660982039324135,0.26625,0.2934272300469484,2,0.26625
moderate_independent,21,fixed_500ms,1,0.19144936119467815,0.5979375121217458,0.8390065503003967,0.23809144237483612,0.056875,0.9010989010989011,2,0.056875
moderate_independent,21,queue_capped_250ms,1,0.19102767678211308,0.41288573077684987,0.5636745494400017,0.23660982039324135,0.26625,0.2934272300469484,2,0.26625
moderate_independent,22,no_hedge,1,0.19410962956359867,1.3815022053630912,3.310176268994013,0.3067790899684091,0,0,2,0
moderate_independent,22,fixed_250ms,1,0.1921084591729567,0.4196974323249094,0.5679574508636378,0.2357272677351504,0.271875,0.2827586206896552,2,0.271875
moderate_independent,22,fixed_500ms,1,0.1915983710421898,0.592021679808056,0.8161666073647353,0.23501414793480752,0.061875,0.797979797979798,2,0.061875
moderate_independent,22,queue_capped_250ms,1,0.1921084591729567,0.4196974323249094,0.5679574508636378,0.2357272677351504,0.271875,0.2827586206896552,2,0.271875
moderate_independent,23,no_hedge,1,0.1921533001843727,1.5839455054054241,3.284465754105028,0.31976618844992183,0,0,2,0
moderate_independent,23,fixed_250ms,1,0.18915577341124923,0.4171837114221262,0.5384919775059132,0.23751385929377394,0.269375,0.2877030162412993,2,0.269375
moderate_independent,23,fixed_500ms,1,0.18898868254635914,0.6105674486962869,0.788491977506041,0.23702744321728655,0.059375,0.8736842105263158,2,0.05875
moderate_independent,23,queue_capped_250ms,1,0.18915577341124923,0.4171837114221262,0.5384919775059132,0.23751385929377394,0.269375,0.2877030162412993,2,0.269375
moderate_independent,24,no_hedge,1,0.19221206484222364,1.3645209082959866,2.835012226767077,0.30350371351394906,0,0,2,0
moderate_independent,24,fixed_250ms,1,0.19170509402246694,0.42713848518192776,0.564243767152675,0.24772468266552164,0.265,0.2806603773584906,2,0.265
moderate_independent,24,fixed_500ms,1,0.19109825301336514,0.6200426621577151,0.8083737159697222,0.24667697845725697,0.0625,0.79,2,0.0625
moderate_independent,24,queue_capped_250ms,1,0.19170509402246694,0.42713848518192776,0.564243767152675,0.24772468266552164,0.265,0.2806603773584906,2,0.265
moderate_independent,25,no_hedge,1,0.1918731346602769,1.5180395005137655,3.1762874773265253,0.3158280040876086,0,0,2,0
moderate_independent,25,fixed_250ms,1,0.19123975032493945,0.4183204709683821,0.5811498068170664,0.23939735557351377,0.27875,0.3295964125560538,3,0.27875
moderate_independent,25,fixed_500ms,1,0.19086452825409594,0.5982819804075419,0.8205456933684872,0.24067168368525155,0.07,0.7857142857142857,2,0.07
moderate_independent,25,queue_capped_250ms,1,0.19123975032493945,0.41828111196991813,0.5811498068170664,0.23927860557351388,0.27625,0.332579185520362,3,0.27625
moderate_independent,26,no_hedge,1,0.1990350701790078,1.8842171559101928,3.8362077470502385,0.3315069998410153,0,0,3,0
moderate_independent,26,fixed_250ms,1,0.1929628975309754,0.41222189904368634,0.5358336545156703,0.24079165527294386,0.278125,0.2786516853932584,2,0.2775
moderate_independent,26,fixed_500ms,1,0.1929628975309754,0.6150096306444652,0.784656796287095,0.24203184308143427,0.068125,0.8256880733944955,2,0.0675
moderate_independent,26,queue_capped_250ms,1,0.1929628975309754,0.41222189904368634,0.5358336545156703,0.24079165527294386,0.278125,0.2786516853932584,2,0.2775
moderate_independent,27,no_hedge,0.99875,0.20031785989888817,1.5385404395614586,3.7391214530723733,0.32435064309372313,0,0,3,0
moderate_independent,27,fixed_250ms,1,0.1976195517598196,0.43624044298574916,0.6996620527080122,0.2488373895030694,0.29875,0.2615062761506276,3,0.29875
moderate_independent,27,fixed_500ms,1,0.1957390329264257,0.6132135710047919,0.8850602620272277,0.24416734061609616,0.061875,0.8282828282828283,3,0.061875
moderate_independent,27,queue_capped_250ms,1,0.19670687509170648,0.4331072959757165,0.6350602620271886,0.24802384232698896,0.29,0.26939655172413796,3,0.29
moderate_independent,28,no_hedge,1,0.1904538768505688,0.7148290637252614,3.004205162741167,0.3003268218987592,0,0,2,0
moderate_independent,28,fixed_250ms,1,0.189880876361606,0.4096673578501471,0.5336754425155448,0.23024217371591785,0.266875,0.2786885245901639,2,0.266875
moderate_independent,28,fixed_500ms,1,0.18936874120325342,0.5426139447413192,0.8163937634519414,0.22988146778227872,0.0525,0.8571428571428571,2,0.0525
moderate_independent,28,queue_capped_250ms,1,0.189880876361606,0.4096673578501471,0.5336754425155448,0.23024217371591785,0.266875,0.2786885245901639,2,0.266875
moderate_independent,29,no_hedge,1,0.1964045791743274,1.869979819376459,3.510328973897188,0.34271889012251433,0,0,2,0
moderate_independent,29,fixed_250ms,1,0.19443235944402204,0.4376031965403726,0.5894836314243577,0.24956530449001246,0.285,0.3223684210526316,2,0.285
moderate_independent,29,fixed_500ms,1,0.19421195422329518,0.6231159505988728,0.8382229227991687,0.2516798299895825,0.0775,0.782258064516129,2,0.0775
moderate_independent,29,queue_capped_250ms,1,0.19443235944402204,0.4376031965403726,0.5894836314243577,0.24956530449001246,0.285,0.3223684210526316,2,0.285
moderate_independent,30,no_hedge,1,0.18944868233006673,1.4257941836016386,3.544878877150083,0.3137865318283312,0,0,2,0
moderate_independent,30,fixed_250ms,1,0.18698112415864898,0.4253378374377661,0.5961600178663389,0.24176655835891672,0.27125,0.26497695852534564,2,0.27125
moderate_independent,30,fixed_500ms,1,0.18686971066864544,0.6159166382095975,0.8203670310768132,0.24035889434502786,0.0625,0.8,2,0.0625
moderate_independent,30,queue_capped_250ms,1,0.18698112415864898,0.4253378374377661,0.5961600178663389,0.24176655835891672,0.27125,0.26497695852534564,2,0.27125
moderate_independent,31,no_hedge,1,0.19621457780065654,1.8809292698747413,3.5269316757094558,0.32777947520122397,0,0,3,0
moderate_independent,31,fixed_250ms,1,0.19245649542928334,0.4473435348218686,0.7053123327017659,0.24407139867410074,0.283125,0.2980132450331126,4,0.283125
moderate_independent,31,fixed_500ms,1,0.1923166468550903,0.6377273772775709,0.7985771074428669,0.2462518886638302,0.076875,0.7723577235772358,3,0.076875
moderate_independent,31,queue_capped_250ms,1,0.19245649542928334,0.4409787930270568,0.6404378771934631,0.2451352147696449,0.2725,0.29128440366972475,3,0.2725
moderate_independent,32,no_hedge,1,0.1980059053839156,1.7278605340532494,4.002441670985922,0.3254783973936615,0,0,2,0
moderate_independent,32,fixed_250ms,1,0.19365595123899482,0.4268911781021301,0.5929944121658846,0.24725062737976558,0.275625,0.29024943310657597,2,0.275625
moderate_independent,32,fixed_500ms,1,0.19319575802569489,0.6124673516270605,0.8480183160990862,0.2462246555711965,0.060625,0.8041237113402062,2,0.060625
moderate_independent,32,queue_capped_250ms,1,0.19365595123899482,0.4268911781021301,0.5929944121658846,0.24725062737976558,0.275625,0.29024943310657597,2,0.275625
moderate_independent,33,no_hedge,1,0.1895449074573321,1.0982335594090387,3.4220608443789473,0.3050419280881867,0,0,2,0
